i,x,y,z,r,theta
413,-19,-61,0,63,73
414,-9,-63,0,63,82
415,31,-60,0,67,118
416,-41,55,0,68,306
417,12,-65,0,66,101
418,-70,2,0,70,358
419,-52,-39,0,65,37
420,-57,44,0,72,322
421,69,-20,0,71,164
422,-69,-11,0,69,10
423,-28,-58,0,64,65
424,71,-6,0,71,176
425,-22,-61,0,64,71
426,32,-61,0,68,118
427,5,65,0,65,265
428,-49,-43,0,65,42
429,-18,-62,0,64,74
430,60,-42,0,73,146
431,-16,67,0,68,283
432,-69,-11,0,69,10
433,-20,66,0,68,286
434,-15,-64,0,65,77
435,53,-50,0,72,137
436,57,-44,0,72,143
437,-63,36,0,72,330
438,72,1,0,72,180
439,71,-13,0,72,170
440,71,-18,0,73,166
441,18,65,0,67,254
442,-73,7,0,73,354
443,73,-4,0,73,177
444,36,55,0,65,236
445,-20,67,0,69,286
446,71,3,0,71,182
447,24,-66,0,70,110
448,-72,10,0,72,352
449,58,-46,0,74,142
450,-63,40,0,74,327
451,-41,-54,0,67,53
452,-27,66,0,71,292
453,30,-66,0,72,115
454,-28,-61,0,67,66
455,10,68,0,68,261
456,-73,5,0,73,356
457,37,-63,0,73,121
458,-72,-3,0,72,3
459,-22,-64,0,67,72
460,-51,56,0,75,312
461,-42,62,0,74,304
462,66,-37,0,75,151
463,-64,39,0,74,328
464,-68,-20,0,70,17
465,3,-71,0,71,93
466,-55,52,0,75,316
467,21,-70,0,73,107
468,-74,13,0,75,350
469,-55,51,0,75,317
470,-73,21,0,75,343
471,-3,72,0,72,272
472,0,-71,0,71,90
473,74,-18,0,76,167
474,70,-29,0,75,158
475,-14,-69,0,70,79
476,39,57,0,69,235
477,17,-71,0,73,104
478,7,71,0,71,264
479,73,-21,0,75,164
480,19,-73,0,75,105
481,32,-69,0,76,115
482,31,63,0,70,243
483,56,-54,0,77,137
484,62,-48,0,78,143
485,34,-68,0,76,117
486,-24,71,0,74,288
487,44,54,0,69,230
488,-30,-64,0,70,65
489,13,-74,0,75,100
490,43,56,0,70,232
491,5,74,0,74,266
492,49,51,0,70,226
493,-45,-55,0,71,51
494,-74,-4,0,74,4
495,41,58,0,71,234
496,72,16,0,73,192
497,-58,53,0,78,317
498,-70,-20,0,72,16
499,76,-8,0,76,174
500,-69,-23,0,72,19
501,72,-31,0,78,157
502,1,75,0,75,269
503,-2,-75,0,75,89
504,76,2,0,76,181
505,28,-73,0,78,111
506,-70,38,0,79,331
507,69,23,0,72,198
508,-67,42,0,79,327
509,-40,-60,0,72,57
510,-38,-63,0,73,59
511,64,34,0,72,207
512,-76,19,0,78,345
513,50,-63,0,80,129
514,50,53,0,72,226
515,-49,-54,0,72,48
516,-73,31,0,79,336
517,-48,-55,0,73,49
518,35,-72,0,80,116
519,56,47,0,73,220
520,-12,-76,0,76,82
521,55,-61,0,82,133
522,-75,28,0,80,339
523,-48,-56,0,73,50
524,62,-53,0,81,140
525,7,77,0,77,264
526,7,78,0,78,264
527,42,61,0,74,235
528,-77,7,0,77,354
529,-46,68,0,82,304
530,70,-41,0,81,150
531,-54,-51,0,74,44
532,-78,6,0,78,355
533,30,-77,0,82,112
534,3,-80,0,80,93
535,77,-20,0,79,166
536,-9,80,0,80,276
537,-68,-31,0,74,25
538,-71,-24,0,74,19
539,-13,-77,0,78,81
540,63,41,0,75,213
541,-21,-76,0,78,75
542,-71,-25,0,75,20
543,-58,60,0,83,314
544,-75,-16,0,76,13
545,-78,3,0,78,357
546,77,-23,0,80,164
547,28,-79,0,83,110
548,-29,78,0,83,290
549,-53,65,0,83,309
550,-53,66,0,84,308
551,-7,82,0,82,274
552,78,-3,0,78,178
553,56,52,0,76,222
554,53,-66,0,84,129
555,78,4,0,78,182
556,38,-75,0,84,117
557,4,-83,0,83,93
558,32,72,0,78,246
559,-73,-24,0,76,19
560,79,0,0,79,180
561,74,22,0,77,196
562,65,42,0,77,212
563,-73,-28,0,78,21
564,4,-84,0,84,93
565,79,1,0,79,180
566,-60,60,0,84,315
567,-76,32,0,82,337
568,-3,-83,0,83,88
569,67,-51,0,84,143
570,-71,-34,0,78,26
571,-71,-33,0,78,25
572,72,31,0,78,203
573,80,-6,0,80,176
574,-16,-82,0,83,79
575,13,83,0,84,261
576,77,14,0,78,190
577,59,52,0,78,221
578,59,52,0,78,221
579,-45,-66,0,79,56
580,-50,72,0,87,304
581,67,41,0,78,211
582,-20,86,0,88,283
583,61,51,0,79,219
584,-54,68,0,86,308
585,52,-70,0,87,127
586,-63,-49,0,79,38
587,78,13,0,79,189
588,22,81,0,83,254
589,-24,-80,0,83,74
590,-71,-37,0,80,28
591,80,-18,0,82,168
592,78,18,0,80,192
593,76,-36,0,84,155
594,-73,-34,0,80,25
595,81,0,0,81,180
596,-70,49,0,85,325
597,-44,-70,0,82,58
598,-58,66,0,87,311
599,-63,60,0,87,316
600,75,31,0,81,202
601,-36,81,0,88,293
602,68,45,0,81,213
603,-72,-36,0,80,27
604,-60,65,0,88,312
605,-8,89,0,89,275
606,-59,65,0,87,312
607,-54,71,0,89,307
608,-18,88,0,89,281
609,-80,-13,0,81,10
610,-82,-4,0,82,3
611,-59,-60,0,84,46
612,65,51,0,82,218
613,-37,-78,0,86,65
614,-82,-9,0,82,7
615,44,-78,0,89,120
616,71,40,0,81,209
617,-74,-36,0,82,26
618,54,65,0,84,230
619,0,91,0,91,270
620,-79,30,0,84,339
621,-79,34,0,86,336
622,-26,-86,0,89,74
623,81,18,0,82,192
624,31,-86,0,91,110
625,-75,-35,0,82,26
626,43,76,0,87,240
627,-11,-90,0,90,84
628,-50,76,0,90,303
629,66,-58,0,87,139
