T,d
2000,0.00222
2000,-0.00241
2000,0.00015
2000,-0.00954
2000,-0.00350
2000,-0.01255
2000,-0.00581
2000,-0.00314
2000,-0.01012
2000,-0.00728
2000,-0.00677
2000,0.00083
2000,-0.00194
2000,-0.00421
2000,-0.00267
2000,-0.00386
2000,-0.00090
2000,-0.01383
2000,-0.00359
2000,-0.01144
2000,-0.00611
2000,0.00295
2000,-0.00643
2000,-0.00047
2000,-0.00073
2000,-0.00095
3000,-0.01323
3000,-0.00366
3000,-0.01385
3000,-0.00321
3000,-0.00819
3000,-0.00483
3000,0.00074
3000,-0.00577
3000,0.00494
3000,-0.01301
3000,-0.00083
3000,-0.00957
3000,-0.01992
3000,-0.00132
3000,-0.01594
3000,-0.00864
3000,0.00236
3000,-0.00690
3000,-0.01054
3000,-0.00432
3000,-0.00796
3000,-0.00362
3000,-0.00645
3000,-0.00650
3000,-0.00298
3000,-0.00688
3000,-0.00282
3000,-0.01752
3000,-0.00750
3000,-0.01239
3000,-0.00096
3000,-0.01958
3000,-0.00440
3000,-0.00537
3000,-0.00601
3000,-0.01042
3000,0.00131
3000,-0.00091
3000,-0.00257
3000,-0.00293
3000,-0.01438
3000,-0.00897
3000,-0.00747
3000,-0.01848
3000,-0.00559
3000,-0.00781
3000,-0.00666
3000,-0.00639
3000,-0.00121
3000,-0.00039
3000,-0.00171
3000,0.00722
3000,-0.01271
3000,-0.01570
3000,-0.00918
3000,-0.00783
3000,-0.00933
3000,-0.00843
3000,-0.01219
3000,0.00681
3000,-0.00089
3000,0.00407
3000,-0.00252
3000,-0.01394
3000,-0.00933
3000,-0.01095
3000,-0.00119
3000,-0.00912
3000,-0.00127
3000,-0.00179
3000,-0.00381
3000,-0.00362
3000,-0.00848
3000,-0.01122
3000,-0.00686
3000,-0.00239
3000,-0.00393
3000,-0.00539
3000,-0.01296
3000,-0.00856
3000,-0.00044
3000,-0.01329
3000,-0.00740
3000,-0.00623
3000,-0.00681
3000,-0.00582
3000,-0.00494
3000,-0.01859
3000,-0.00675
3000,-0.00019
3000,-0.01895
3000,-0.00877
3000,0.00763
3000,-0.00658
3000,0.00009
3000,-0.00210
3000,0.00484
3000,0.00257
3000,-0.00876
3000,0.00809
5000,-0.01650
5000,-0.00726
5000,-0.00822
5000,-0.00463
5000,-0.01167
5000,-0.01354
5000,-0.01317
5000,0.00335
5000,-0.01074
5000,-0.00461
5000,-0.00279
5000,-0.01725
5000,-0.01313
5000,-0.00687
5000,0.00914
5000,-0.00425
5000,-0.00069
5000,-0.01455
5000,-0.00817
5000,0.00921
5000,-0.00196
5000,0.00837
5000,-0.01154
5000,-0.00653
5000,-0.00813
5000,-0.00445
5000,-0.00434
5000,0.00549
5000,-0.00728
5000,-0.00106
5000,-0.01253
5000,-0.01276
5000,-0.00845
5000,-0.00589
5000,0.01443
5000,-0.00415
5000,0.00672
5000,-0.00406
5000,0.01708
5000,-0.01359
5000,-0.00583
5000,0.00154
5000,0.00058
5000,0.00102
5000,0.00947
5000,-0.00995
5000,0.00379
5000,-0.01684
5000,-0.01410
5000,-0.01045
5000,-0.00009
5000,-0.00813
5000,-0.00409
5000,0.00603
5000,-0.00792
5000,-0.00316
5000,-0.00602
5000,0.00376
5000,-0.00397
5000,-0.00237
5000,-0.00770
5000,0.00908
5000,-0.00202
5000,-0.00625
5000,-0.00601
5000,-0.00198
5000,-0.00817
5000,-0.02972
5000,0.00568
5000,-0.01549
5000,-0.00008
5000,-0.00404
5000,-0.01598
5000,-0.01843
5000,-0.01634
5000,0.00397
5000,-0.00278
5000,0.01475
5000,0.00325
5000,-0.00480
5000,0.00857
5000,-0.00259
5000,-0.01362
5000,-0.01376
5000,-0.00124
5000,0.00368
5000,-0.00657
5000,-0.01215
5000,-0.00249
5000,-0.00749
5000,-0.01019
5000,-0.00171
5000,-0.01499
5000,-0.00526
5000,0.00090
5000,-0.01440
5000,0.00601
5000,0.00365
5000,-0.00429
5000,-0.00405
