T,d
3000,-0.00321
3000,-0.00383
3000,-0.00542
3000,-0.00347
3000,-0.00410
3000,-0.00293
3000,-0.00449
3000,-0.00619
3000,-0.00441
3000,-0.00558
3000,-0.00342
3000,-0.00272
3000,-0.00508
3000,-0.00575
3000,-0.00324
3000,-0.00478
3000,-0.00373
3000,-0.00451
3000,-0.00407
3000,-0.00433
3000,-0.00591
3000,-0.00452
3000,-0.00525
3000,-0.00366
3000,-0.00488
3000,-0.00451
3000,-0.00394
3000,-0.00404
3000,-0.00288
3000,-0.00386
3000,-0.00464
3000,-0.00177
3000,-0.00329
3000,-0.00385
3000,-0.00490
3000,-0.00518
3000,-0.00482
3000,-0.00337
3000,-0.00307
3000,-0.00441
3000,-0.00344
3000,-0.00321
3000,-0.00512
3000,-0.00365
3000,-0.00362
3000,-0.00551
3000,-0.00264
3000,-0.00577
3000,-0.00501
3000,-0.00281
3000,-0.00315
3000,-0.00518
3000,-0.00389
3000,-0.00478
3000,-0.00480
3000,-0.00219
3000,-0.00388
3000,-0.00552
3000,-0.00304
3000,-0.00435
3000,-0.00595
5000,-0.00702
5000,-0.00583
5000,-0.00506
5000,-0.00466
5000,-0.00611
5000,-0.00637
5000,-0.00417
5000,-0.00637
5000,-0.00445
5000,-0.00667
5000,-0.00807
5000,-0.00734
5000,-0.00549
5000,-0.00657
5000,-0.00681
5000,-0.00467
5000,-0.00584
5000,-0.00612
5000,-0.00729
5000,-0.00445
5000,-0.00394
5000,-0.00561
5000,-0.00715
5000,-0.00593
5000,-0.00458
5000,-0.00450
5000,-0.00586
5000,-0.00538
5000,-0.00678
5000,-0.00588
5000,-0.00788
5000,-0.00624
5000,-0.00471
5000,-0.00821
5000,-0.00373
5000,-0.00548
5000,-0.00352
5000,-0.00745
5000,-0.00484
5000,-0.00260
5000,-0.00739
5000,-0.00453
5000,-0.00504
5000,-0.00616
5000,-0.00311
5000,-0.00282
5000,-0.00761
5000,-0.00570
5000,-0.00560
5000,-0.00691
5000,-0.00503
5000,-0.00611
5000,-0.00506
5000,-0.00567
5000,-0.00675
5000,-0.00615
5000,-0.00200
5000,-0.00426
5000,-0.00328
5000,-0.00598
5000,-0.00578
5000,-0.00505
5000,-0.00632
5000,-0.00360
5000,-0.00606
5000,-0.00729
5000,-0.00576
5000,-0.00742
5000,-0.00626
5000,-0.00616
5000,-0.00435
5000,-0.00461
5000,-0.00721
5000,-0.00530
5000,-0.00365
5000,-0.00456
5000,-0.00484
5000,-0.00533
5000,-0.00540
5000,-0.00476
5000,-0.00714
5000,-0.00559
5000,-0.00392
5000,-0.00260
5000,-0.00597
5000,-0.00324
5000,-0.00491
5000,-0.00596
