T,d
2000,0.00180
2000,-0.02028
2000,-0.00522
2000,-0.03107
2000,-0.00157
2000,-0.00639
2000,-0.00984
2000,-0.00258
2000,0.01703
2000,-0.01653
2000,-0.02831
2000,-0.00211
2000,-0.02559
2000,-0.01046
2000,-0.02407
2000,-0.00627
2000,-0.00944
2000,-0.00422
2000,-0.01679
2000,-0.01173
2000,-0.01059
2000,-0.05767
2000,-0.01376
2000,-0.01679
2000,-0.02146
2000,-0.02608
2000,-0.01401
2000,-0.01274
2000,-0.01040
2000,-0.00139
2000,-0.01082
2000,0.00404
2000,-0.00778
2000,-0.00545
2000,-0.00191
2000,-0.01052
2000,-0.01081
2000,-0.00416
2000,-0.01006
2000,0.00082
2000,-0.00668
2000,-0.01787
2000,-0.01928
2000,-0.01785
2000,-0.00559
2000,0.00019
2000,0.00862
2000,-0.02029
2000,0.01604
2000,-0.00979
2000,0.00789
2000,-0.01052
2000,0.00188
2000,-0.00321
2000,-0.01324
2000,-0.01113
2000,-0.00865
2000,-0.01210
2000,-0.05341
2000,0.00152
2000,-0.01043
2000,-0.01214
2000,-0.01492
2000,-0.02496
2000,0.01038
2000,-0.01908
2000,-0.01218
2000,-0.01349
2000,-0.00824
2000,-0.01435
2000,-0.01555
2000,-0.01428
2000,0.00022
2000,-0.00537
2000,-0.00027
2000,-0.00732
2000,-0.00749
2000,-0.05628
2000,-0.06057
2000,0.00347
2000,-0.00304
2000,0.00267
2000,-0.00330
2000,-0.01221
2000,-0.00372
2000,-0.02470
2000,0.00320
2000,-0.00237
3000,-0.04608
3000,0.00078
3000,0.00239
3000,-0.01525
3000,-0.05438
3000,-0.00759
3000,-0.02162
3000,-0.02288
3000,-0.01509
3000,-0.05120
3000,-0.02009
3000,-0.02062
3000,-0.00961
3000,-0.01538
3000,0.00142
3000,-0.01574
3000,-0.00628
3000,-0.04644
3000,-0.00518
3000,0.00093
3000,-0.00853
3000,-0.02996
3000,-0.00242
3000,-0.01081
3000,-0.03168
3000,-0.13085
3000,-0.00384
3000,-0.03844
3000,-0.02089
3000,-0.00750
3000,-0.00378
3000,-0.00467
3000,-0.00313
3000,-0.01075
3000,-0.01455
3000,0.00378
3000,0.00365
3000,-0.05597
3000,-0.01599
3000,-0.07063
3000,-0.00623
3000,-0.01844
3000,-0.02463
3000,-0.01203
3000,-0.00313
3000,-0.00674
3000,0.00767
3000,0.03718
3000,-0.01242
3000,-0.02521
3000,-0.01350
3000,-0.01131
3000,-0.02334
3000,-0.02351
3000,-0.06268
3000,-0.00676
3000,0.00127
3000,-0.00562
3000,-0.01893
3000,-0.06264
3000,0.00129
3000,-0.01716
3000,-0.04082
3000,-0.01475
3000,-0.01828
3000,-0.10099
3000,-0.09177
3000,-0.00330
3000,-0.01279
3000,-0.02264
3000,-0.01860
3000,0.01039
3000,-0.00774
3000,-0.01922
3000,-0.01831
3000,-0.02916
3000,-0.01086
3000,0.00161
3000,-0.00697
3000,-0.00813
3000,0.01207
3000,-0.01566
3000,-0.02363
3000,0.00155
3000,-0.05412
3000,-0.01560
3000,-0.00514
3000,-0.01176
3000,-0.02468
3000,-0.00480
3000,-0.01068
3000,-0.02296
3000,0.02130
3000,-0.00945
3000,-0.01635
3000,-0.01390
3000,-0.01251
3000,-0.01238
3000,-0.01579
3000,0.00205
5000,-0.02592
5000,-0.00576
5000,-0.11590
5000,-0.04134
5000,-0.01349
5000,-0.11461
5000,-0.00759
5000,0.01120
5000,0.00014
5000,-0.02628
5000,-0.01485
5000,0.00338
5000,-0.05703
5000,-0.02820
5000,-0.01522
5000,-0.05094
5000,-0.06483
5000,-0.00852
5000,-0.02203
5000,-0.04092
5000,0.00294
5000,0.00759
5000,-0.02275
5000,-0.02597
5000,-0.02984
5000,-0.02172
5000,-0.02056
5000,-0.06215
5000,-0.09970
5000,0.00910
5000,-0.03517
5000,0.00028
5000,-0.07526
5000,-0.00525
