n,delta_barnes_hut,delta_energy,s
1000,0.100000,-0.00460,120.003
1000,0.100000,-0.00429,119.480
1000,0.100000,0.00272,120.385
1000,0.100000,-0.00290,118.673
1000,0.100000,-0.00476,120.619
1000,0.100000,-0.00394,120.077
1000,0.100000,0.00076,120.908
1000,0.100000,-0.00379,120.679
1000,0.100000,-0.00251,120.096
1000,0.100000,-0.00346,119.767
1000,0.100000,-0.00012,120.052
1000,0.100000,-0.00394,120.000
1000,0.100000,-0.00031,120.793
1000,0.100000,-0.00276,120.189
1000,0.100000,-0.00238,120.477
1000,0.100000,0.00128,120.273
1000,0.100000,0.00050,120.981
1000,0.100000,-0.00364,119.831
1000,0.100000,-0.00123,120.951
1000,0.100000,0.00007,119.058
1000,0.100000,-0.00259,120.366
1000,0.100000,-0.00660,120.256
1000,0.100000,-0.00405,120.262
1000,0.100000,-0.00261,119.601
1000,0.200000,-0.00070,74.338
1000,0.200000,0.00225,75.411
1000,0.200000,-0.00729,75.164
1000,0.200000,-0.00961,75.729
1000,0.200000,0.00409,76.088
1000,0.200000,0.00022,75.858
1000,0.200000,-0.00479,74.919
1000,0.200000,0.00153,77.088
1000,0.200000,0.00625,76.285
1000,0.200000,-0.00738,75.115
1000,0.200000,-0.00111,75.842
1000,0.200000,-0.00898,75.579
1000,0.200000,-0.00004,75.813
1000,0.200000,-0.00198,75.898
1000,0.200000,-0.00431,75.617
1000,0.200000,0.00013,74.425
1000,0.200000,0.00544,74.745
1000,0.200000,-0.00952,74.852
1000,0.200000,0.00093,75.797
1000,0.200000,-0.00755,74.721
1000,0.200000,-0.00229,73.665
1000,0.200000,-0.00667,73.892
1000,0.200000,-0.00596,74.181
1000,0.200000,0.00114,76.123
1000,0.200000,-0.00274,75.700
1000,0.200000,-0.00531,73.422
1000,0.200000,-0.01166,73.667
1000,0.200000,-0.00317,72.197
1000,0.200000,-0.00723,75.571
1000,0.200000,0.00194,77.700
1000,0.200000,-0.00064,74.628
1000,0.200000,-0.00154,75.919
1000,0.200000,-0.01162,76.526
1000,0.200000,0.00074,74.837
1000,0.200000,-0.00004,74.682
1000,0.200000,-0.00819,73.576
1000,0.200000,-0.00383,74.211
1000,0.200000,-0.00012,73.286
1000,0.200000,-0.00400,75.669
1000,0.200000,-0.00691,74.310
1000,0.200000,-0.00746,74.050
1000,0.200000,-0.00215,74.627
1000,0.200000,-0.00680,75.121
1000,0.200000,-0.00283,75.299
1000,0.200000,-0.00267,74.887
1000,0.200000,-0.00008,76.081
1000,0.200000,-0.00347,75.255
1000,0.200000,-0.00576,74.321
1000,0.200000,-0.00434,75.629
1000,0.200000,-0.00371,75.429
1000,0.200000,-0.00482,76.166
1000,0.200000,-0.00170,74.475
1000,0.200000,-0.00017,74.908
1000,0.200000,-0.00381,75.135
1000,0.200000,0.00088,74.661
1000,0.200000,-0.00181,75.314
1000,0.200000,0.00025,74.466
1000,0.200000,-0.00652,76.153
1000,0.200000,0.00167,75.619
1000,0.200000,-0.00148,75.353
1000,0.200000,-0.01001,75.655
1000,0.200000,0.00208,75.707
1000,0.200000,-0.00187,73.207
1000,0.200000,-0.00413,74.477
1000,0.200000,-0.00966,75.985
1000,0.200000,-0.00443,74.113
1000,0.200000,-0.01126,75.446
1000,0.200000,-0.00732,74.594
1000,0.200000,-0.00221,76.009
1000,0.200000,-0.00284,75.017
1000,0.200000,-0.00933,74.500
1000,0.200000,0.00216,76.354
1000,0.200000,-0.00601,75.809
1000,0.200000,-0.00112,74.696
1000,0.200000,-0.00372,74.290
1000,0.200000,0.00447,75.972
1000,0.200000,-0.00163,74.938
1000,0.200000,-0.00164,74.517
1000,0.200000,-0.00314,75.399
1000,0.200000,-0.00541,74.480
1000,0.200000,-0.00324,75.910
1000,0.200000,-0.00340,74.999
1000,0.200000,-0.00435,74.987
1000,0.200000,0.00205,75.416
1000,0.200000,-0.00305,75.214
1000,0.200000,-0.00167,76.536
1000,0.200000,-0.00405,75.295
1000,0.200000,0.00296,76.254
1000,0.200000,-0.00405,75.034
1000,0.200000,-0.01018,75.244
1000,0.200000,0.00322,75.306
1000,0.200000,0.00058,74.967
1000,0.200000,-0.00004,75.948
1000,0.200000,-0.01041,74.222
1000,0.200000,0.00822,75.199
1000,0.200000,-0.00759,74.236
1000,0.200000,0.00445,76.625
1000,0.200000,-0.00231,74.766
1000,0.200000,-0.00847,73.942
1000,0.200000,-0.00119,75.807
1000,0.300000,-0.01022,57.004
1000,0.300000,-0.00639,54.190
1000,0.300000,-0.01821,56.775
1000,0.300000,-0.00535,57.247
1000,0.300000,-0.00888,56.130
1000,0.300000,-0.01096,57.286
1000,0.300000,-0.01159,57.159
1000,0.300000,-0.00370,57.177
1000,0.300000,-0.00662,56.652
1000,0.300000,0.00412,56.682
1000,0.300000,-0.00650,56.823
1000,0.300000,0.00396,55.569
1000,0.300000,0.00833,57.400
1000,0.300000,0.00408,56.767
1000,0.300000,-0.01793,55.025
1000,0.300000,-0.00651,56.359
1000,0.300000,0.00238,55.506
1000,0.300000,-0.01129,55.005
1000,0.300000,-0.00371,57.363
1000,0.300000,-0.00256,57.287
1000,0.300000,-0.00466,57.723
1000,0.300000,0.00438,58.442
1000,0.300000,-0.00636,57.081
1000,0.300000,-0.01741,56.507
1000,0.300000,0.00036,54.330
1000,0.300000,-0.01325,55.431
1000,0.300000,-0.00434,58.360
1000,0.300000,-0.00310,57.411
1000,0.300000,-0.00454,56.053
1000,0.300000,-0.00622,54.760
1000,0.300000,-0.00623,56.163
1000,0.300000,-0.00934,56.477
1000,0.300000,-0.00880,56.885
1000,0.300000,0.00101,55.564
1000,0.300000,-0.00072,55.984
1000,0.300000,0.00015,56.077
1000,0.300000,-0.00009,56.944
1000,0.300000,-0.00334,57.192
1000,0.300000,-0.01180,54.719
1000,0.300000,-0.00715,57.026
1000,0.300000,-0.00183,56.194
1000,0.300000,-0.00026,56.537
1000,0.300000,-0.01124,54.890
1000,0.300000,-0.00253,56.733
1000,0.300000,-0.01130,57.543
1000,0.300000,-0.01163,55.921
1000,0.300000,-0.00692,57.871
1000,0.300000,-0.00801,58.526
1000,0.300000,-0.00110,55.615
1000,0.300000,-0.00274,55.773
1000,0.300000,-0.01106,56.684
1000,0.300000,-0.00339,58.871
1000,0.300000,-0.01402,56.017
1000,0.300000,-0.00713,55.635
1000,0.300000,-0.00632,57.182
1000,0.300000,0.00836,57.105
1000,0.300000,0.00096,56.560
1000,0.300000,-0.00191,55.569
1000,0.300000,-0.00579,55.933
1000,0.300000,-0.00576,55.517
1000,0.300000,-0.01820,56.367
1000,0.300000,-0.00551,55.527
1000,0.300000,-0.00148,56.451
1000,0.300000,-0.00380,56.719
1000,0.300000,0.00065,56.384
1000,0.300000,0.00319,57.681
1000,0.300000,-0.00944,57.071
1000,0.300000,-0.00596,55.725
1000,0.300000,-0.00221,55.593
1000,0.300000,0.00431,57.226
1000,0.300000,0.00134,58.047
1000,0.300000,-0.00089,56.553
1000,0.300000,-0.01098,53.312
1000,0.300000,0.00103,56.771
1000,0.300000,-0.00302,57.901
1000,0.300000,-0.00131,57.003
1000,0.300000,0.00168,57.264
1000,0.300000,-0.00646,56.440
1000,0.300000,-0.00187,58.066
1000,0.300000,-0.00281,58.668
1000,0.300000,-0.00558,58.402
1000,0.300000,-0.00942,58.436
1000,0.300000,-0.01637,59.384
1000,0.300000,-0.01119,58.724
1000,0.300000,0.00088,58.661
1000,0.300000,-0.00115,57.417
1000,0.300000,-0.00467,57.497
1000,0.300000,-0.00288,58.769
1000,0.300000,-0.00499,58.428
1000,0.300000,-0.00725,58.554
1000,0.300000,-0.00122,58.600
1000,0.300000,-0.00946,58.779
1000,0.300000,-0.01050,58.917
1000,0.300000,-0.00331,58.404
1000,0.300000,0.00035,59.505
1000,0.300000,-0.00884,59.809
1000,0.300000,-0.01064,58.239
1000,0.300000,-0.01157,57.310
1000,0.300000,-0.01040,59.066
1000,0.300000,-0.00735,59.612
1000,0.400000,-0.03006,41.388
1000,0.400000,0.00484,42.637
1000,0.400000,-0.00369,41.593
1000,0.400000,-0.00708,41.291
1000,0.400000,-0.01183,42.696
1000,0.400000,-0.00620,42.272
1000,0.400000,-0.00876,43.131
1000,0.400000,-0.01679,43.845
1000,0.400000,-0.00502,43.099
1000,0.400000,-0.00262,42.790
1000,0.400000,-0.01100,42.021
1000,0.400000,-0.00757,42.834
1000,0.400000,-0.00426,42.474
1000,0.400000,-0.00547,43.509
1000,0.400000,-0.00893,42.017
1000,0.400000,-0.01389,41.293
1000,0.400000,-0.00694,42.849
1000,0.400000,-0.00453,41.244
1000,0.400000,-0.00609,42.236
1000,0.400000,-0.00613,42.333
1000,0.400000,-0.01154,42.310
1000,0.400000,0.00079,42.011
1000,0.400000,-0.01677,41.324
1000,0.400000,-0.00996,42.219
1000,0.400000,-0.00670,43.831
1000,0.400000,0.00572,41.515
1000,0.400000,-0.00963,42.883
1000,0.400000,0.01070,42.905
1000,0.400000,-0.00804,40.449
1000,0.400000,-0.00352,41.250
1000,0.400000,-0.00559,41.552
1000,0.400000,-0.00335,41.034
1000,0.400000,-0.01307,41.520
1000,0.400000,-0.01388,40.922
1000,0.400000,-0.01233,40.669
1000,0.400000,-0.00697,44.381
1000,0.400000,0.00710,41.711
1000,0.400000,-0.00055,42.569
1000,0.400000,-0.00386,47.002
1000,0.400000,-0.01664,42.599
1000,0.400000,-0.01835,41.609
1000,0.400000,-0.00275,42.186
1000,0.400000,0.00490,42.393
1000,0.400000,-0.01425,41.176
1000,0.400000,0.00272,43.801
1000,0.400000,-0.01040,41.774
1000,0.400000,-0.03301,42.275
1000,0.400000,-0.00309,43.430
1000,0.400000,-0.00631,42.839
1000,0.400000,-0.01134,41.706
1000,0.400000,-0.00273,41.585
1000,0.400000,-0.02318,41.778
1000,0.400000,0.00240,42.639
1000,0.400000,-0.00553,42.441
1000,0.400000,-0.00696,41.509
1000,0.400000,0.00354,42.304
1000,0.400000,0.00073,42.042
1000,0.400000,-0.00728,40.610
1000,0.400000,-0.01566,42.256
1000,0.400000,-0.00765,43.959
1000,0.400000,-0.01688,41.927
1000,0.400000,-0.00877,44.377
1000,0.400000,-0.02512,42.125
1000,0.400000,-0.01241,40.459
1000,0.400000,-0.03669,41.279
1000,0.400000,0.00763,44.800
1000,0.400000,-0.01518,41.480
1000,0.400000,-0.00642,40.786
1000,0.400000,-0.00807,43.452
1000,0.400000,-0.00345,41.042
1000,0.400000,-0.01050,43.032
1000,0.400000,-0.01683,42.852
1000,0.400000,0.00494,42.199
1000,0.400000,0.00068,41.442
1000,0.400000,-0.00131,41.289
1000,0.400000,-0.01396,42.503
1000,0.400000,-0.00717,42.336
1000,0.400000,-0.02739,40.939
1000,0.400000,-0.00899,42.128
1000,0.400000,0.00095,42.049
1000,0.400000,0.00312,42.548
1000,0.400000,-0.01261,42.838
1000,0.400000,-0.00929,42.538
1000,0.400000,-0.01501,41.910
1000,0.400000,-0.00909,42.457
1000,0.400000,-0.00354,41.072
1000,0.400000,-0.00015,41.023
1000,0.400000,0.00322,40.294
1000,0.400000,-0.00655,41.318
1000,0.400000,-0.00016,41.849
1000,0.400000,-0.01322,43.383
1000,0.400000,-0.00723,44.115
1000,0.400000,-0.00882,41.263
1000,0.400000,-0.00889,41.768
1000,0.400000,-0.01049,42.659
1000,0.400000,-0.01512,44.468
1000,0.400000,-0.01474,40.934
1000,0.400000,-0.00003,40.978
1000,0.400000,-0.00315,43.507
1000,0.400000,0.00545,42.096
1000,0.500000,-0.01957,35.176
1000,0.500000,-0.00404,33.859
